Season,Garden,Clump,Condition,Rows,Ear weight,Cob weight,Kernel weight
2009,POG,3,Sparse,10,9.2,7.0,2.1999999999999993
2009,POG,4,Partial,10,10.7,4.4,6.299999999999999
2009,POG,4,Partial,14,18.6,7.4,11.200000000000001
2009,POG,4,Sparse,12,9.2,5.7,3.499999999999999
2009,POG,4,Immature,NA,0.6,0.6,0.0
2009,POG,5,Sparse,12,8.8,3.8,5.000000000000001
2009,POG,5,Immature,NA,0.6,0.6,0.0
2009,POG,6,Full,12,25.8,7.1,18.700000000000003
2009,POG,6,Partial,10,13.2,4.1,9.1
2009,POG,6,Immature,NA,3.1,3.1,0.0
2009,POG,6,Sparse,6,1.4,1.1,0.2999999999999998
2009,POG,6,Sparse,10,3.5,2.7,0.7999999999999998
2009,POG,7,Partial,12,51.6,10.2,41.400000000000006
2009,POG,7,Partial,10,16.6,4.8,11.8
2009,POG,7,Partial,10,18.5,7.2,11.3
2009,POG,7,Sparse,10,9.9,8.3,1.5999999999999996
2009,POG,7,Sparse,12,17.5,10.5,7.0
2009,POG,7,Immature,NA,2.7,2.7,0.0
2009,POG,8,Full,12,89.1,20.7,68.39999999999999
2009,POG,8,Full,10,85.4,21.3,64.10000000000001
2009,POG,8,Partial,10,14.7,3.5,11.2
2009,POG,8,Sparse,6,4.1,1.4,2.6999999999999997
2009,POG,8,Immature,NA,0.5,0.5,0.0
2009,POG,9,Full,16,80.7,30.1,50.6
2009,POG,9,Partial,12,75.3,27.6,47.699999999999996
2009,POG,9,Full,12,76.9,15.0,61.900000000000006
2009,POG,9,Full,14,55.5,13.4,42.1
2009,POG,3,Sparse,12,11.4,7.7,3.7
2009,POG,9,Partial,12,30.5,6.6,23.9
2009,POG,9,Sparse,12,20.8,7.1,13.700000000000001
2009,POG,9,Sparse,12,6.8,6.0,0.7999999999999998
2009,POG,10,Sparse,12,16.2,9.2,7.0
2009,POG,10,Partial,12,19.1,9.8,9.3
2009,POG,10,Immature,NA,14.0,14.0,0.0
2009,POG,10,Sparse,10,3.5,2.6,0.8999999999999999
2009,POG,11,Sparse,12,20.0,8.9,11.1
2009,POG,11,Partial,14,17.4,7.7,9.7
2009,POG,11,Sparse,10,12.1,6.0,6.1
2009,POG,11,Sparse,12,5.8,4.3,1.5
2009,POG,11,Sparse,10,6.0,4.4,1.5999999999999996
2009,POG,11,Sparse,10,3.2,3.0,0.20000000000000018
2009,POG,12,Full,12,48.4,13.6,34.8
