Garden,Season,Clump,Net kernel weight
CDG,2009,1,0.0
CDG,2009,2,0.0
CDG,2009,3,31.700000000000003
CDG,2009,4,0.0
CDG,2009,5,0.0
CDG,2009,6,0.0
CDG,2009,7,0.0
CDG,2009,8,3.5
CDG,2009,9,103.0
CDG,2009,10,79.89999999999999
CDG,2009,11,0.0
CDG,2009,12,0.0
CDG,2009,13,48.60000000000001
CDG,2009,14,47.8
CDG,2009,15,0.0
CDG,2009,16,0.20000000000000018
CDG,2009,17,167.8
CDG,2009,18,0.0
CDG,2009,19,342.1
CDG,2009,20,0.0
CDG,2009,21,0.0
CDG,2009,22,45.2
CDG,2009,23,347.0
CDG,2009,24,24.6
CDG,2009,25,71.1
CDG,2009,26,107.3
CDG,2009,27,0.0
CDG,2009,28,68.0
CDG,2009,29,63.9
CDG,2009,30,208.10000000000002
CDG,2009,31,6.9
CDG,2009,32,0.0
CDG,2009,33,0.0
CDG,2009,34,96.19999999999999
CDG,2009,35,0.0
CDG,2010,1,410.5
CDG,2010,2,455.5
CDG,2010,3,472.5
CDG,2010,4,869.6
CDG,2010,5,511.2
CDG,2010,6,597.1
CDG,2010,7,525.0
CDG,2010,8,869.1
CDG,2010,9,561.1
CDG,2010,10,589.6
CDG,2010,11,486.5
CDG,2010,12,243.9
CDG,2010,13,486.4
CDG,2010,14,627.5
CDG,2010,15,691.4
CDG,2010,16,560.8
CDG,2010,17,907.2
CDG,2010,18,675.4
CDG,2010,19,371.40000000000003
CDG,2010,20,663.4
CDG,2010,21,481.0
CDG,2010,22,241.39999999999998
CDG,2010,23,431.0
CDG,2010,24,436.5
CDG,2010,25,733.6
CDG,2010,26,370.40000000000003
CDG,2011,1,0.0
CDG,2011,2,0.0
CDG,2011,3,0.0
CDG,2011,4,0.0
CDG,2011,5,0.0
CDG,2011,6,0.0
CDG,2011,7,0.7000000000000002
CDG,2011,8,104.9
CDG,2011,9,209.5
CDG,2011,10,0.0
CDG,2011,11,0.0
CDG,2011,12,195.8
CDG,2011,13,196.79999999999998
CDG,2011,14,95.6
CDG,2011,15,0.0
CDG,2011,16,17.3
CDG,2011,17,16.5
CDG,2011,18,132.7
CDG,2011,19,314.8
CDG,2011,20,7.899999999999999
CDG,2011,21,0.0
CDG,2011,22,0.0
CDG,2011,23,2.4
CDG,2011,24,14.700000000000001
CDG,2011,25,104.30000000000001
CDG,2011,26,40.300000000000004
CDG,2012,1,0.0
CDG,2012,2,0.0
CDG,2012,3,0.0
CDG,2012,4,0.0
CDG,2012,5,0.0
CDG,2012,6,0.0
CDG,2012,7,0.0
CDG,2012,8,0.0
CDG,2012,9,0.0
CDG,2012,10,0.0
CDG,2012,11,0.0
CDG,2012,12,0.0
CDG,2012,13,0.0
CDG,2012,14,0.0
CDG,2012,15,0.0
CDG,2012,16,0.0
CDG,2012,17,0.0
CDG,2012,18,0.0
CDG,2012,19,0.0
CDG,2012,20,0.0
CDG,2012,21,0.0
CDG,2013,1,0.0
CDG,2013,2,214.5
CDG,2013,3,274.90000000000003
CDG,2013,4,2.7999999999999994
CDG,2013,5,46.3
CDG,2013,6,41.6
CDG,2013,7,58.0
CDG,2013,8,166.20000000000002
CDG,2013,9,97.30000000000001
CDG,2013,10,152.2
CDG,2013,11,158.2
CDG,2013,12,148.1
