plantsym,plantsciname,plantcomname,forestunprod,rangeprod,cokey,coeplantskey
POFE,Poa fendleriana,muttongrass,NA,20,17724562,74750170
PASM,Pascopyrum smithii,western wheatgrass,NA,15,17724562,74750171
HECOC8,Hesperostipa comata ssp. comata,needle and thread,NA,5,17724562,74750172
PUTR2,Purshia tridentata,antelope bitterbrush,NA,5,17724562,74750173
ERNAN5,Ericameria nauseosa ssp. nauseosa var. nauseosa,rubber rabbitbrush,NA,5,17724562,74750174
ARTR2,Artemisia tridentata,big sagebrush,NA,15,17724562,74750175
ELEL5,Elymus elymoides,bottlebrush squirreltail,NA,5,17724562,74750176
PLJA,Pleuraphis jamesii,galleta,NA,5,17724562,74750177
ACHY,Achnatherum hymenoides,Indian ricegrass,NA,10,17724585,74750245
PASM,Pascopyrum smithii,western wheatgrass,NA,30,17724585,74750246
POFE,Poa fendleriana,muttongrass,NA,15,17724585,74750247
ARNO4,Artemisia nova,black sagebrush,NA,5,17724585,74750248
ARTR2,Artemisia tridentata,big sagebrush,NA,10,17724585,74750249
ELEL5,Elymus elymoides,bottlebrush squirreltail,NA,15,17724585,74750250
PLJA,Pleuraphis jamesii,galleta,NA,5,17724585,74750251
