cokey,mrulekey,mrulename,seqnum,rulekey,rulename,ruledepth,interpll,interpllc,interplr,interplrc,interphr,interphrc,interphh,interphhc,nullpropdatabool,defpropdatabool,incpropdatabool,cointerpkey
17724585,24388,AWM - Irrigation Disposal of Wastewater,0,24388,AWM - Irrigation Disposal of Wastewater,0,0.962,Somewhat limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1495413274
17724585,24388,AWM - Irrigation Disposal of Wastewater,1,202,Percolation (1 - 4 um/sec) 0 to 60 Inches,1,0.962,Slow water movement,1,Slow water movement,1,Slow water movement,1,Slow water movement,0,0,0,1495413275
17724585,24388,AWM - Irrigation Disposal of Wastewater,2,240,Slope 2.9 to > 8% surface,1,0.68,Too steep for surface application,1,Too steep for surface application,1,Too steep for surface application,1,Too steep for surface application,0,0,0,1495413276
17724585,24388,AWM - Irrigation Disposal of Wastewater,3,224,"Droughty, AWC 0 to 150cm",1,0.292,Droughty,0.468,Droughty,0.468,Droughty,0.706,Droughty,0,0,0,1495413277
17724585,24388,AWM - Irrigation Disposal of Wastewater,4,197,Shallow to Bedrock 50 - 100 cm,1,0,No bedrock depth limitation,0.461,Depth to bedrock,0.461,Depth to bedrock,0.999,Depth to bedrock,0,0,0,1495413278
17724585,24388,AWM - Irrigation Disposal of Wastewater,5,10185,Slope 5.9 to > 15% sprinkler,1,0,No steepness limitation,0.222,Too steep for sprinkler application,0.222,Too steep for sprinkler application,0.778,Too steep for sprinkler application,0,0,0,1495413279
17724585,235,AWM - Land Application of Municipal Sewage Sludge,0,235,AWM - Land Application of Municipal Sewage Sludge,0,0.962,Somewhat limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1495413280
17724585,235,AWM - Land Application of Municipal Sewage Sludge,1,202,Percolation (1 - 4 um/sec) 0 to 60 Inches,1,0.962,Slow water movement,1,Slow water movement,1,Slow water movement,1,Slow water movement,0,0,0,1495413281
17724585,235,AWM - Land Application of Municipal Sewage Sludge,2,224,"Droughty, AWC 0 to 150cm",1,0.292,Droughty,0.468,Droughty,0.468,Droughty,0.706,Droughty,0,0,0,1495413282
17724585,235,AWM - Land Application of Municipal Sewage Sludge,3,197,Shallow to Bedrock 50 - 100 cm,1,0,No bedrock depth limitation,0.461,Depth to bedrock,0.461,Depth to bedrock,0.999,Depth to bedrock,0,0,0,1495413283
17724585,235,AWM - Land Application of Municipal Sewage Sludge,4,10192,Slope 8 to > 15%,1,0,No slope limitation,0.041,Slope,0.041,Slope,0.633,Slope,0,0,0,1495413284
17724585,205,AWM - Manure and Food Processing Waste,0,205,AWM - Manure and Food Processing Waste,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1495413285
17724585,205,AWM - Manure and Food Processing Waste,1,10265,Percolation < 2 um/sec to 60 Inches,1,1,Slow water movement,1,Slow water movement,1,Slow water movement,1,Slow water movement,0,0,0,1495413286
17724585,205,AWM - Manure and Food Processing Waste,2,224,"Droughty, AWC 0 to 150cm",1,0.292,Droughty,0.468,Droughty,0.468,Droughty,0.706,Droughty,0,0,0,1495413287
17724585,205,AWM - Manure and Food Processing Waste,3,197,Shallow to Bedrock 50 - 100 cm,1,0,No bedrock depth limitation,0.461,Depth to bedrock,0.461,Depth to bedrock,0.999,Depth to bedrock,0,0,0,1495413288
17724585,205,AWM - Manure and Food Processing Waste,4,10192,Slope 8 to > 15%,1,0,No slope limitation,0.041,Slope,0.041,Slope,0.633,Slope,0,0,0,1495413289
17724585,258,AWM - Overland Flow Process Treatment of Wastewater,0,258,AWM - Overland Flow Process Treatment of Wastewater,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1495413290
17724585,258,AWM - Overland Flow Process Treatment of Wastewater,1,255,Seepage Limitation (1 - 4 um/sec) Surface Layer,1,1,Seepage,1,Seepage,1,Seepage,1,Seepage,0,0,0,1495413291
17724585,258,AWM - Overland Flow Process Treatment of Wastewater,2,250,Shallow to Bedrock 100 - 150 cm,1,0.997,Depth to bedrock,1,Depth to bedrock,1,Depth to bedrock,1,Depth to bedrock,0,0,0,1495413292
17724585,258,AWM - Overland Flow Process Treatment of Wastewater,3,10211,Slope 5.9 to > 12% surface,1,0,No steepness limitation,0.5,Too steep for surface application,0.5,Too steep for surface application,1,Too steep for surface application,0,0,0,1495413293
17724585,238,AWM - Rapid Infiltration Disposal of Wastewater,0,238,AWM - Rapid Infiltration Disposal of Wastewater,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1495413294
17724585,238,AWM - Rapid Infiltration Disposal of Wastewater,1,289,Percolation (10 - 40 um/sec) 0 to 60 Inches,1,1,Slow water movement,1,Slow water movement,1,Slow water movement,1,Slow water movement,0,0,0,1495413295
17724585,238,AWM - Rapid Infiltration Disposal of Wastewater,2,291,Shallow to Bedrock < 200cm,1,1,Depth to bedrock,1,Depth to bedrock,1,Depth to bedrock,1,Depth to bedrock,0,0,0,1495413296
17724585,238,AWM - Rapid Infiltration Disposal of Wastewater,3,288,Sloping 3.9 to > 8%,1,0.524,Slope,1,Slope,1,Slope,1,Slope,0,0,0,1495413297
17724585,254,AWM - Slow Rate Process Treatment of Wastewater,0,254,AWM - Slow Rate Process Treatment of Wastewater,0,0.997,Somewhat limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1495413298
17724585,254,AWM - Slow Rate Process Treatment of Wastewater,1,250,Shallow to Bedrock 100 - 150 cm,1,0.997,Depth to bedrock,1,Depth to bedrock,1,Depth to bedrock,1,Depth to bedrock,0,0,0,1495413299
17724585,254,AWM - Slow Rate Process Treatment of Wastewater,2,240,Slope 2.9 to > 8% surface,1,0.68,Too steep for surface application,1,Too steep for surface application,1,Too steep for surface application,1,Too steep for surface application,0,0,0,1495413300
17724585,254,AWM - Slow Rate Process Treatment of Wastewater,3,251,Percolation (.4 - 4 um/sec) 0 to 60 Inches,1,0.842,Slow water movement,0.985,Slow water movement,0.985,Slow water movement,1,Slow water movement,0,0,0,1495413301
17724585,254,AWM - Slow Rate Process Treatment of Wastewater,4,252,Slope 5.9 to > 12% sprinkler,1,0,No slope limitation,0.5,Too steep for sprinkler irrigation,0.5,Too steep for sprinkler irrigation,1,Too steep for sprinkler irrigation,0,0,0,1495413302
17724585,54166,"DHS - Catastrophic Event, Large Animal Mortality, Burial",0,54166,"DHS - Catastrophic Event, Large Animal Mortality, Burial",0,0.041,Slightly limited,0.633,Somewhat limited,0.633,Somewhat limited,1,Very severely limited,0,0,0,1495413303
17724585,54166,"DHS - Catastrophic Event, Large Animal Mortality, Burial",1,19333,Slope 5 to > 12%,1,0.041,Slope,0.633,Slope,0.633,Slope,1,Slope,0,0,0,1495413304
17724585,54168,"DHS - Catastrophic Event, Large Animal Mortality, Incinerate",0,54168,"DHS - Catastrophic Event, Large Animal Mortality, Incinerate",0,0.041,Slightly limited,0.633,Somewhat limited,0.633,Somewhat limited,1,Very severely limited,0,0,0,1495413305
17724585,54168,"DHS - Catastrophic Event, Large Animal Mortality, Incinerate",1,19333,Slope 5 to > 12%,1,0.041,Slope,0.633,Slope,0.633,Slope,1,Slope,0,0,0,1495413306
17724585,21013,"DHS - Catastrophic Mortality, Large Animal Disposal, Pit",0,21013,"DHS - Catastrophic Mortality, Large Animal Disposal, Pit",0,0.041,Somewhat limited,0.633,Somewhat limited,0.633,Somewhat limited,1,Very limited,0,0,0,1495413307
17724585,21013,"DHS - Catastrophic Mortality, Large Animal Disposal, Pit",1,19333,Slope 5 to > 12%,1,0.041,Slope,0.633,Slope,0.633,Slope,1,Slope,0,0,0,1495413308
17724585,21014,"DHS - Catastrophic Mortality, Large Animal Disposal, Trench",0,21014,"DHS - Catastrophic Mortality, Large Animal Disposal, Trench",0,0,Not limited,0.041,Somewhat limited,0.041,Somewhat limited,0.633,Somewhat limited,0,0,0,1495413309
17724585,21014,"DHS - Catastrophic Mortality, Large Animal Disposal, Trench",1,10192,Slope 8 to > 15%,1,0,No slope limitation,0.041,Slope,0.041,Slope,0.633,Slope,0,0,0,1495413310
17724585,20799,DHS - Potential for Radioactive Bioaccumulation,0,20799,DHS - Potential for Radioactive Bioaccumulation,0,0.002,Low bioaccumulation potential,0.004,Low bioaccumulation potential,0.004,Low bioaccumulation potential,0.011,Low bioaccumulation potential,0,0,0,1495413311
17724585,20799,DHS - Potential for Radioactive Bioaccumulation,1,20866,Bioaccumulation Sorption,1,0,"Bioavailability low due to CEC, pH, or organic sorption",0,"Bioavailability low due to CEC, pH, or organic sorption",0,"Bioavailability low due to CEC, pH, or organic sorption",0.003,"Bioavailability due to CEC, pH, or organic sorption",0,0,0,1495413312
17724585,20799,DHS - Potential for Radioactive Bioaccumulation,2,20818,Bioaccumulation Material Gain Potential,1,0.002,Gains bioavailable material,0.004,Gains bioavailable material,0.004,Gains bioavailable material,0.008,Gains bioavailable material,0,0,0,1495413313
17724585,20799,DHS - Potential for Radioactive Bioaccumulation,3,20865,Bioaccumulation Chemical Attenuation,1,0,Bioavailability low due to attenuation by carbonates or gyp,0.08,Bioavailability due to attenuation by carbonates or gyp,0.08,Bioavailability due to attenuation by carbonates or gyp,0.5,Bioavailability due to attenuation by carbonates or gyp,0,0,0,1495413314
17724585,20791,DHS - Potential for Radioactive Sequestration,0,20791,DHS - Potential for Radioactive Sequestration,0,0.893,Moderately high sequestration potential,0.996,High sequestration potential,0.996,High sequestration potential,0.992,High sequestration potential,0,0,0,1495413315
17724585,20791,DHS - Potential for Radioactive Sequestration,1,20814,Sequestration Clay Content,1,0.875,Adsorption by clay,1,Adsorption by clay,1,Adsorption by clay,0.984,Adsorption by clay,0,0,0,1495413316
17724585,20791,DHS - Potential for Radioactive Sequestration,2,20790,Sequestration CaCO3,1,0.5,Adsorptive capacity due to CaCO3,0.92,Adsorptive capacity due to CaCO3,0.92,Adsorptive capacity due to CaCO3,1,Adsorptive capacity due to CaCO3,0,0,0,1495413317
