monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
4,April,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724585,185870935
8,August,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724585,185870936
12,December,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724585,185870937
2,February,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724585,185870938
1,January,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724585,185870939
7,July,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724585,185870940
6,June,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724585,185870941
3,March,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724585,185870942
5,May,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724585,185870943
11,November,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724585,185870944
10,October,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724585,185870945
9,September,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724585,185870946
4,April,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724584,185870923
8,August,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724584,185870924
12,December,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724584,185870925
2,February,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724584,185870926
1,January,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724584,185870927
7,July,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724584,185870928
6,June,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724584,185870929
3,March,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724584,185870930
5,May,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724584,185870931
11,November,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724584,185870932
10,October,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724584,185870933
9,September,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724584,185870934
4,April,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724583,185870911
8,August,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724583,185870912
12,December,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724583,185870913
2,February,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724583,185870914
1,January,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724583,185870915
7,July,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724583,185870916
6,June,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724583,185870917
3,March,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724583,185870918
5,May,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724583,185870919
11,November,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724583,185870920
10,October,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724583,185870921
9,September,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724583,185870922
4,April,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724563,185870671
8,August,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724563,185870672
12,December,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724563,185870673
2,February,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724563,185870674
1,January,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724563,185870675
7,July,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724563,185870676
6,June,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724563,185870677
3,March,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724563,185870678
5,May,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724563,185870679
11,November,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724563,185870680
10,October,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724563,185870681
9,September,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724563,185870682
2,February,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724562,185870659
1,January,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724562,185870660
7,July,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724562,185870661
6,June,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724562,185870662
3,March,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724562,185870663
5,May,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724562,185870664
11,November,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724562,185870665
10,October,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724562,185870666
9,September,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724562,185870667
4,April,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724562,185870668
8,August,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724562,185870669
12,December,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724562,185870670
