fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,3,6,,2,4,5,,,,51712444,88624044
0,2,3,,5,40,75,,,,51712444,88624045
0,2,3,,75,162,250,,,,51712444,88624046
0,3,6,,2,4,5,,,,51712445,88624047
0,2,3,,5,40,75,,,,51712445,88624048
0,2,3,,75,162,250,,,,51712445,88624049
0,3,6,,2,4,5,,,,51712446,88624050
0,2,3,,5,40,75,,,,51712446,88624051
0,2,3,,75,162,250,,,,51712446,88624052
0,2,3,,2,4,5,,,,51712449,88624053
0,2,3,,5,40,75,,,,51712449,88624054
0,2,3,,2,4,5,,,,51712450,88624055
0,2,3,,5,40,75,,,,51712450,88624056
