structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Strong,Medium,Prismatic,1,2,27704189,33873838
Strong,Medium,Angular blocky,2,NA,27704189,33873839
Strong,Fine,Granular,NA,NA,27704255,33873946
Moderate,Medium,Prismatic,1,2,27704827,33874739
Strong,Fine,Angular blocky,2,NA,27704827,33874740
Strong,Medium,Angular blocky,3,NA,27704827,33874741
Weak,Medium,Granular,1,NA,27704187,33873834
Moderate,Medium,Platy,NA,1,27704187,33873835
Weak,Medium,Subangular blocky,NA,NA,27704188,33873836
Moderate,Medium,Subangular blocky,NA,NA,27704188,33873837
,,Massive,NA,NA,27704190,33873840
