plantsym,plantsciname,plantcomname,forestunprod,rangeprod,cokey,coeplantskey
ARNO4,Artemisia nova,black sagebrush,NA,15,17724381,74749749
FEAR2,Festuca arizonica,Arizona fescue,NA,20,17724381,74749750
KOMA,Koeleria macrantha,prairie Junegrass,NA,5,17724381,74749751
PASM,Pascopyrum smithii,western wheatgrass,NA,30,17724381,74749752
QUGA,Quercus gambelii,Gambel oak,NA,5,17724381,74749753
PASM,Pascopyrum smithii,western wheatgrass,NA,10,17724385,74749754
CERCO,Cercocarpus,mountain mahogany,NA,5,17724385,74749755
MUMO,Muhlenbergia montana,mountain muhly,NA,10,17724385,74749756
QUGA,Quercus gambelii,Gambel oak,NA,15,17724385,74749757
SYMPH,Symphoricarpos,snowberry,NA,5,17724385,74749758
FEAR2,Festuca arizonica,Arizona fescue,NA,10,17724385,74749759
ARTR2,Artemisia tridentata,big sagebrush,NA,5,17724385,74749760
BRMA4,Bromus marginatus,mountain brome,NA,5,17724385,74749761
