cokey,mrulekey,mrulename,seqnum,rulekey,rulename,ruledepth,interpll,interpllc,interplr,interplrc,interphr,interphrc,interphh,interphhc,nullpropdatabool,defpropdatabool,incpropdatabool,cointerpkey
17724385,24388,AWM - Irrigation Disposal of Wastewater,0,24388,AWM - Irrigation Disposal of Wastewater,0,0.68,Somewhat limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1495314701
17724385,24388,AWM - Irrigation Disposal of Wastewater,1,240,Slope 2.9 to > 8% surface,1,0.68,Too steep for surface application,1,Too steep for surface application,1,Too steep for surface application,1,Too steep for surface application,0,0,0,1495314702
17724385,24388,AWM - Irrigation Disposal of Wastewater,2,236,Surface Reaction (pH 5 to 6.5),1,0.213,Too acid,0.669,Too acid,0.669,Too acid,0.989,Too acid,0,0,0,1495314703
17724385,24388,AWM - Irrigation Disposal of Wastewater,3,202,Percolation (1 - 4 um/sec) 0 to 60 Inches,1,0,Ksat not restrictive,0.306,Slow water movement,0.306,Slow water movement,0.962,Slow water movement,0,0,0,1495314704
17724385,24388,AWM - Irrigation Disposal of Wastewater,4,10185,Slope 5.9 to > 15% sprinkler,1,0,No steepness limitation,0.222,Too steep for sprinkler application,0.222,Too steep for sprinkler application,0.778,Too steep for sprinkler application,0,0,0,1495314705
17724385,235,AWM - Land Application of Municipal Sewage Sludge,0,235,AWM - Land Application of Municipal Sewage Sludge,0,0.213,Somewhat limited,0.669,Somewhat limited,0.669,Somewhat limited,0.989,Somewhat limited,0,0,0,1495314706
17724385,235,AWM - Land Application of Municipal Sewage Sludge,1,236,Surface Reaction (pH 5 to 6.5),1,0.213,Too acid,0.669,Too acid,0.669,Too acid,0.989,Too acid,0,0,0,1495314707
17724385,235,AWM - Land Application of Municipal Sewage Sludge,2,202,Percolation (1 - 4 um/sec) 0 to 60 Inches,1,0,Ksat not restrictive,0.306,Slow water movement,0.306,Slow water movement,0.962,Slow water movement,0,0,0,1495314708
17724385,235,AWM - Land Application of Municipal Sewage Sludge,3,10192,Slope 8 to > 15%,1,0,No slope limitation,0.041,Slope,0.041,Slope,0.633,Slope,0,0,0,1495314709
17724385,205,AWM - Manure and Food Processing Waste,0,205,AWM - Manure and Food Processing Waste,0,0.054,Somewhat limited,0.412,Somewhat limited,0.412,Somewhat limited,1,Very limited,0,0,0,1495314710
