monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
4,April,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724381,185868559
8,August,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724381,185868560
12,December,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724381,185868561
2,February,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724381,185868562
1,January,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724381,185868563
7,July,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724381,185868564
6,June,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724381,185868565
3,March,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724381,185868566
5,May,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724381,185868567
11,November,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724381,185868568
10,October,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724381,185868569
9,September,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724381,185868570
4,April,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724382,185868571
8,August,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724382,185868572
12,December,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724382,185868573
2,February,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724382,185868574
1,January,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724382,185868575
7,July,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724382,185868576
6,June,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724382,185868577
3,March,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724382,185868578
5,May,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724382,185868579
11,November,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724382,185868580
10,October,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724382,185868581
9,September,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724382,185868582
4,April,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724383,185868583
8,August,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724383,185868584
12,December,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724383,185868585
2,February,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724383,185868586
1,January,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724383,185868587
7,July,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724383,185868588
6,June,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724383,185868589
3,March,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724383,185868590
5,May,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724383,185868591
11,November,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724383,185868592
10,October,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724383,185868593
9,September,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724383,185868594
4,April,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724384,185868595
8,August,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724384,185868596
12,December,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724384,185868597
2,February,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724384,185868598
1,January,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724384,185868599
7,July,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724384,185868600
6,June,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724384,185868601
3,March,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724384,185868602
5,May,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724384,185868603
11,November,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724384,185868604
10,October,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724384,185868605
