monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
4,April,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724263,185867203
8,August,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724263,185867204
12,December,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724263,185867205
2,February,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724263,185867206
1,January,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724263,185867207
7,July,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724263,185867208
6,June,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724263,185867209
3,March,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724263,185867210
5,May,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724263,185867211
11,November,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724263,185867212
10,October,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724263,185867213
9,September,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724263,185867214
4,April,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724264,185867215
8,August,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724264,185867216
12,December,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724264,185867217
2,February,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724264,185867218
1,January,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724264,185867219
7,July,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724264,185867220
6,June,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724264,185867221
3,March,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724264,185867222
5,May,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724264,185867223
11,November,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724264,185867224
10,October,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724264,185867225
9,September,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724264,185867226
4,April,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724265,185867227
8,August,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724265,185867228
12,December,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724265,185867229
2,February,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724265,185867230
1,January,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724265,185867231
7,July,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724265,185867232
6,June,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724265,185867233
3,March,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724265,185867234
5,May,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724265,185867235
11,November,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724265,185867236
10,October,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724265,185867237
9,September,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724265,185867238
1,January,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724266,185867239
2,February,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724266,185867240
4,April,Rare,Brief (2 to 7 days),None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724266,185867241
8,August,Rare,Very brief (4 to 48 hours),None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724266,185867242
7,July,Rare,Very brief (4 to 48 hours),None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724266,185867243
6,June,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724266,185867244
3,March,Rare,Brief (2 to 7 days),None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724266,185867245
5,May,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724266,185867246
11,November,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724266,185867247
10,October,Rare,Very brief (4 to 48 hours),None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724266,185867248
9,September,Rare,Very brief (4 to 48 hours),None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724266,185867249
12,December,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724266,185867250
