aashtocl,rvindicator,chkey,chaashtokey
A-6,Yes,51712749,84487963
A-4,Yes,51712750,84487964
A-7-6,No ,51712750,84487965
A-6,Yes,51712751,84487966
A-6,Yes,51712752,84487967
A-4,No ,51712752,84487968
A-6,Yes,51712753,84487969
A-6,Yes,51712754,84487970
A-6,Yes,51712756,84487971
A-7-6,No ,51712756,84487972
A-6,Yes,51712785,84488000
A-7-6,No ,51712785,84488001
A-6,Yes,51712786,84488002
A-6,No ,51712787,84488003
A-7-6,Yes,51712787,84488004
A-6,Yes,51712788,84488005
A-7-6,No ,51712788,84488006
A-6,Yes,51712789,84488007
A-7-6,No ,51712789,84488008
A-6,Yes,51712790,84488009
A-2-4,No ,51712791,84488010
A-4,Yes,51712791,84488011
A-6,No ,51712791,84488012
A-7-6,Yes,51712792,84488013
A-4,No ,51712792,84488014
A-6,No ,51712793,84488015
A-7-6,Yes,51712793,84488016
A-6,No ,51712794,84488017
A-7-6,Yes,51712794,84488018
