hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
Bt,NA,B,NA,NA,NA,8,NA,NA,18,NA,NA,NA,NA,0,0,0,0,0,0,100,100,100,100,100,100,93,100,100,75,82,85,NA,32,NA,NA,0,NA,NA,0.2,NA,NA,0.9,NA,NA,7,NA,NA,23.9,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,18,25,28,0,0,0,0.5,0.75,1,NA,NA,NA,1.37,1.42,1.47,NA,NA,NA,1.52,1.57,1.59,NA,5,10,15,0.13,0.15,0.17,NA,NA,NA,26.6,29.9,31.2,10.9,15.2,17.2,42,44,45,1.9,3.3,3.8,29,37,40,12,17,19,7,13,16,0.43,0.43,0,0,1,0,0,0,0,0,0,0,0,0,14.7,20.1,22.5,NA,NA,NA,14.3,20,31.7,7.2,7.4,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2.5,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724650,51712749
A,NA,A,NA,NA,NA,0,NA,NA,8,NA,NA,NA,NA,0,0,0,0,0,0,100,100,100,100,100,100,93,98,100,71,76,88,NA,42,NA,NA,0.5,NA,NA,1.2,NA,NA,2.4,NA,NA,6.5,NA,NA,31.4,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,10,15,27,0,0,0,0.5,1.25,2,NA,NA,NA,1.36,1.41,1.46,NA,NA,NA,1.43,1.48,1.57,NA,5,10,15,0.14,0.16,0.18,NA,NA,NA,21.9,25.9,31.6,6.3,10.1,17.7,42,44,45,1,1.6,3.7,22,28,41,6,9,19,1,5,17,0.43,0.43,0,0,1,0,0,0,0,0,0,0,0,0,8.6,12.9,22.3,NA,NA,NA,8.6,12.8,31.5,7.2,7.4,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.3,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724650,51712750
Btk1,NA,B,NA,1,NA,18,NA,NA,122,NA,NA,NA,NA,0,0,0,0,0,0,100,100,100,100,100,100,92,100,100,73,81,83,NA,32,NA,NA,0,NA,NA,0.2,NA,NA,0.9,NA,NA,7.3,NA,NA,23.6,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,18,26,28,0,0,1,0.5,0.75,1,NA,NA,NA,1.44,1.49,1.54,NA,NA,NA,1.6,1.65,1.66,NA,5,10,15,0.13,0.15,0.17,NA,NA,NA,27,30.8,31.7,11.4,16.5,18,39,41,43,1.8,3.4,3.7,29,37,40,11,18,19,6,13,15,0.43,0.43,5,8,10,0,0,0,0,0,0,0,0,0,14.7,20.8,21.7,NA,NA,NA,48,59.5,60.4,8,8.2,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724650,51712751
Btk2,NA,B,NA,2,NA,122,NA,NA,152,NA,NA,NA,NA,0,0,0,0,0,0,100,100,100,100,100,100,94,100,100,75,81,85,NA,33,NA,NA,0,NA,NA,0.2,NA,NA,0.9,NA,NA,7.7,NA,NA,24.2,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,18,24,28,0,2,4,0,0.25,0.5,NA,NA,NA,1.44,1.49,1.54,NA,NA,NA,1.56,1.61,1.65,NA,5,10,15,0.13,0.15,0.17,NA,NA,NA,26.4,29.5,31.3,10.7,14.6,17.3,40,41,43,1.5,2.6,3.4,27,34,39,10,15,19,5,11,16,0.49,0.49,15,20,30,0,0,0,0,2,4,0,1,2,12.9,17.1,19,NA,NA,NA,18.6,51.6,58,8.2,8.4,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724650,51712752
Bt,NA,B,NA,NA,NA,8,NA,NA,25,NA,NA,NA,NA,0,0,0,0,0,0,95,96,100,89,93,100,83,93,100,79,89,98,NA,7,NA,NA,0,NA,NA,0,NA,NA,0.2,NA,NA,2,NA,NA,4.8,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,18,25,27,0,0,1,0.5,0.75,1,NA,NA,NA,1.36,1.41,1.46,NA,NA,NA,1.5,1.55,1.57,NA,5,10,15,0.13,0.15,0.17,NA,NA,NA,24.9,28.6,30.8,10.1,14.5,16.5,40,42,46,1.7,3.1,3.6,29,36,39,11,17,19,7,14,19,0.49,0.49,0,0,2,0,0,0,0,0,0,0,0,0,14.7,20.1,21,NA,NA,NA,14.3,20,41.6,7.2,7.4,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2.5,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724651,51712753
Bk,NA,B,NA,NA,NA,25,NA,NA,61,NA,NA,NA,NA,0,0,0,0,0,0,90,95,100,80,89,100,76,89,100,72,86,100,NA,7,NA,NA,0,NA,NA,0,NA,NA,0.2,NA,NA,1.9,NA,NA,4.9,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,18,23,27,0,1,2,0.25,0.5,0.75,NA,NA,NA,1.37,1.42,1.47,NA,NA,NA,1.49,1.54,1.58,NA,5,10,15,0.13,0.15,0.17,NA,NA,NA,23.2,27,30.6,9.3,12.9,16.3,37,41,46,1.5,2.5,3.4,28,34,38,11,15,19,5,12,20,0.55,0.55,5,8,10,0,0,0,0,0,0,0,0,0,14.3,17.6,20.1,NA,NA,NA,47.6,56.3,58.8,8,8.2,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724651,51712754
2R,2,R,NA,NA,NA,61,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724651,51712755
A,NA,A,NA,NA,NA,0,NA,NA,8,NA,NA,NA,NA,0,0,0,0,0,0,89,94,100,78,88,100,76,88,100,71,82,99,NA,11.4,NA,NA,0.1,NA,NA,0.4,NA,NA,0.9,NA,NA,3.4,NA,NA,6.6,NA,NA,68.6,NA,NA,NA,NA,NA,NA,NA,18,20,27,0,0,0,1,2,3,NA,NA,NA,1.25,1.3,1.35,NA,NA,NA,1.35,1.4,1.46,NA,5,10,15,0.15,0.17,0.19,NA,NA,NA,23.1,26.4,31.4,9.3,12,17.5,40,44,49,1.7,2.3,3.8,30,34,43,12,13,19,6,10,21,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,15.1,17,22.7,NA,NA,NA,14.8,17,22.6,7,7.2,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,3.2,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724651,51712756
Cr,NA,C,NA,NA,NA,76,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724682,51712784
A,NA,A,NA,NA,NA,0,NA,NA,20,NA,NA,NA,NA,0,0,0,0,0,0,85,91,100,70,82,100,67,82,100,53,66,85,NA,36,NA,NA,0,NA,NA,0.1,NA,NA,0.8,NA,NA,7,NA,NA,28.1,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,18,22,27,0,0,0,1,2,3,NA,NA,NA,NA,1.38,NA,NA,NA,NA,NA,1.5,1.56,NA,5,10,15,0.13,0.15,0.17,NA,NA,NA,NA,26.5,32.5,9.2,13.2,18.6,NA,40,NA,1.6,2.5,3.8,30,36,43,12,15,19,3,8,17,0.43,0.43,0,0,0,0,0,0,0,0,0,0,0,0,15.1,18.6,22.7,NA,NA,NA,14.8,18.5,22.6,7,7.2,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,3.6,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724682,51712785
Bk,NA,B,NA,NA,NA,48,NA,NA,76,NA,NA,NA,NA,0,0,0,0,0,0,86,92,100,72,83,100,67,83,100,54,68,85,NA,32,NA,NA,0,NA,NA,0.2,NA,NA,0.9,NA,NA,7,NA,NA,23.9,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,18,25,28,0,1,2,0.25,0.5,0.75,NA,NA,NA,NA,1.49,NA,NA,NA,NA,NA,1.63,1.68,NA,5,10,15,0.12,0.14,0.16,NA,NA,NA,NA,27,33.2,9.1,14,17.7,NA,37,NA,1.4,2.7,3.6,28,35,39,11,17,19,3,9,16,0.55,0.55,10,12,15,0,0,0,0,0,0,0,0,0,14.3,19,20.8,NA,NA,NA,53,57.7,59.5,8.2,8.4,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724682,51712786
