texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
L,No ,Yes,Loam,51712749,103291604
CL,No ,No ,Clay loam,51712749,103291605
L,No ,Yes,Loam,51712750,103291606
L,No ,Yes,Loam,51712751,103291607
CL,No ,No ,Clay loam,51712751,103291608
SCL,No ,No ,Sandy clay loam,51712751,103291609
L,No ,Yes,Loam,51712752,103291610
SCL,No ,No ,Sandy clay loam,51712752,103291611
SIL,No ,Yes,Silt loam,51712753,103291612
L,No ,No ,Loam,51712753,103291613
L,No ,No ,Loam,51712754,103291614
SIL,No ,Yes,Silt loam,51712754,103291615
BR,No ,Yes,Bedrock,51712755,103291616
SIL,No ,Yes,Silt loam,51712756,103291617
BR,No ,Yes,Bedrock,51712784,103291657
L,No ,Yes,Loam,51712785,103291658
L,No ,Yes,Loam,51712786,103291659
SICL,No ,No ,Silty clay loam,51712786,103291660
CL,No ,Yes,Clay loam,51712787,103291661
SICL,No ,No ,Silty clay loam,51712787,103291662
SIL,No ,Yes,Silt loam,51712788,103291663
SIL,No ,No ,Silt loam,51712789,103291664
L,No ,Yes,Loam,51712789,103291665
L,No ,Yes,Loam,51712790,103291666
VFSL,No ,No ,Very fine sandy loam,51712791,103291667
FSL,No ,Yes,Fine sandy loam,51712791,103291668
L,No ,Yes,Loam,51712792,103291669
SICL,No ,Yes,Silty clay loam,51712793,103291670
C,No ,No ,Clay,51712793,103291671
CL,No ,No ,Clay loam,51712794,103291672
SICL,No ,Yes,Silty clay loam,51712794,103291673
