cokey,mrulekey,mrulename,seqnum,rulekey,rulename,ruledepth,interpll,interpllc,interplr,interplrc,interphr,interphrc,interphh,interphhc,nullpropdatabool,defpropdatabool,incpropdatabool,cointerpkey
17724650,24388,AWM - Irrigation Disposal of Wastewater,0,24388,AWM - Irrigation Disposal of Wastewater,0,0,Not limited,0.32,Somewhat limited,0.32,Somewhat limited,0.68,Somewhat limited,0,0,0,1495446429
17724650,24388,AWM - Irrigation Disposal of Wastewater,1,240,Slope 2.9 to > 8% surface,1,0,No steepness limitation,0.32,Too steep for surface application,0.32,Too steep for surface application,0.68,Too steep for surface application,0,0,0,1495446430
17724650,235,AWM - Land Application of Municipal Sewage Sludge,0,235,AWM - Land Application of Municipal Sewage Sludge,0,0,Not limited,0,Not limited,0,Not limited,0,Not limited,0,0,0,1495446431
17724650,205,AWM - Manure and Food Processing Waste,0,205,AWM - Manure and Food Processing Waste,0,0,Not limited,0,Not limited,0,Not limited,0,Not limited,0,0,0,1495446432
17724650,258,AWM - Overland Flow Process Treatment of Wastewater,0,258,AWM - Overland Flow Process Treatment of Wastewater,0,1,Very limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1495446433
17724650,258,AWM - Overland Flow Process Treatment of Wastewater,1,255,Seepage Limitation (1 - 4 um/sec) Surface Layer,1,1,Seepage,1,Seepage,1,Seepage,1,Seepage,0,0,0,1495446434
17724650,238,AWM - Rapid Infiltration Disposal of Wastewater,0,238,AWM - Rapid Infiltration Disposal of Wastewater,0,0.943,Somewhat limited,1,Very limited,1,Very limited,1,Very limited,0,0,0,1495446435
17724650,238,AWM - Rapid Infiltration Disposal of Wastewater,1,289,Percolation (10 - 40 um/sec) 0 to 60 Inches,1,0.943,Slow water movement,1,Slow water movement,1,Slow water movement,1,Slow water movement,0,0,0,1495446436
17724650,238,AWM - Rapid Infiltration Disposal of Wastewater,2,288,Sloping 3.9 to > 8%,1,0,No slope limitation,0.144,Slope,0.144,Slope,0.524,Slope,0,0,0,1495446437
17724650,254,AWM - Slow Rate Process Treatment of Wastewater,0,254,AWM - Slow Rate Process Treatment of Wastewater,0,0,Not limited,0.32,Somewhat limited,0.32,Somewhat limited,0.68,Somewhat limited,0,0,0,1495446438
17724650,254,AWM - Slow Rate Process Treatment of Wastewater,1,240,Slope 2.9 to > 8% surface,1,0,No steepness limitation,0.32,Too steep for surface application,0.32,Too steep for surface application,0.68,Too steep for surface application,0,0,0,1495446439
