monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
4,April,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724650,185871655
8,August,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724650,185871656
12,December,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724650,185871657
2,February,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724650,185871658
1,January,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724650,185871659
7,July,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724650,185871660
6,June,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724650,185871661
3,March,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724650,185871662
5,May,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724650,185871663
11,November,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724650,185871664
10,October,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724650,185871665
9,September,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724650,185871666
1,January,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724651,185871667
2,February,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724651,185871668
3,March,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724651,185871669
4,April,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724651,185871670
5,May,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724651,185871671
6,June,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724651,185871672
7,July,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724651,185871673
8,August,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724651,185871674
9,September,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724651,185871675
10,October,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724651,185871676
11,November,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724651,185871677
12,December,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724651,185871678
1,January,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724682,185871955
2,February,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724682,185871956
3,March,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724682,185871957
4,April,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724682,185871958
5,May,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724682,185871959
6,June,None,,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17724682,185871960
