unifiedcl,rvindicator,chkey,chunifiedkey
CL,Yes,51712749,96922033
CL-ML,No ,51712750,96922034
CL,Yes,51712750,96922035
CL,Yes,51712751,96922036
CL,Yes,51712752,96922037
SC,Yes,51712791,96922084
SC-SM,No ,51712791,96922085
CL,Yes,51712792,96922086
ML,No ,51712792,96922087
SC,No ,51712792,96922088
CH,No ,51712793,96922089
CL,Yes,51712793,96922090
CL,Yes,51712794,96922091
CL,Yes,51712785,96922077
CL,Yes,51712786,96922078
CL,Yes,51712787,96922079
CL,Yes,51712753,96922038
CL,Yes,51712754,96922039
CL,Yes,51712756,96922040
CL,No ,51712788,96922080
ML,Yes,51712788,96922081
CL,Yes,51712789,96922082
CL,Yes,51712790,96922083
