Year,Almagre Mountain B index,Mesa Verde Douglas Fir index
480,NaN,693.0
481,NaN,597.0
482,NaN,573.0
483,NaN,903.0
484,NaN,1536.0
485,NaN,937.0
486,NaN,759.0
487,NaN,1402.0
488,NaN,640.0
489,NaN,1078.0
490,NaN,1444.0
491,NaN,951.0
492,NaN,914.0
493,NaN,474.0
494,NaN,1357.0
495,NaN,949.0
496,NaN,1215.0
497,NaN,1256.0
498,NaN,1441.0
499,NaN,2103.0
500,NaN,412.0
501,NaN,984.0
502,NaN,1243.0
503,NaN,1506.0
504,NaN,2045.0
505,NaN,1603.0
506,NaN,1609.0
507,NaN,1222.0
508,NaN,471.0
509,NaN,1462.0
510,NaN,1177.0
511,NaN,856.0
512,NaN,371.0
513,NaN,345.0
514,NaN,809.0
515,NaN,240.0
516,NaN,243.0
517,NaN,313.0
518,NaN,400.0
519,NaN,439.0
520,NaN,324.0
521,NaN,573.0
522,NaN,1478.0
523,NaN,1906.0
524,NaN,920.0
525,NaN,841.0
526,NaN,0.0
527,NaN,693.0
528,NaN,1271.0
529,NaN,596.0
530,NaN,1344.0
531,NaN,1164.0
532,NaN,1598.0
533,NaN,835.0
534,NaN,1262.0
535,NaN,1019.0
536,NaN,325.0
537,NaN,1094.0
538,NaN,720.0
539,NaN,698.0
540,NaN,706.0
541,NaN,1232.0
542,NaN,542.0
543,NaN,599.0
544,NaN,1336.0
545,NaN,269.0
546,NaN,2e3
547,NaN,1499.0
548,NaN,638.0
549,NaN,1419.0
550,NaN,1086.0
551,NaN,1592.0
552,NaN,2086.0
553,NaN,1264.0
554,NaN,491.0
555,NaN,1692.0
556,NaN,1111.0
557,NaN,1306.0
558,NaN,791.0
559,NaN,1357.0
560,460.0,987.0
561,428.0,524.0
562,493.0,1477.0
563,460.0,165.0
564,428.0,721.0
565,296.0,218.0
566,493.0,1022.0
567,526.0,1118.0
568,493.0,729.0
569,493.0,222.0
570,460.0,949.0
571,658.0,1454.0
572,625.0,1596.0
573,658.0,1307.0
574,592.0,1564.0
575,625.0,1864.0
576,658.0,1612.0
577,855.0,1361.0
578,592.0,622.0
579,625.0,1028.0
580,559.0,597.0
581,724.0,1520.0
582,921.0,1288.0
583,888.0,893.0
584,592.0,580.0
585,658.0,1202.0
586,921.0,862.0
587,888.0,1873.0
