Musym,VPSCode,CLUSTER,AWC_Lower,NYProd_lb_ac,X__of_Cluster
1,1.0,1.0,8.262000000000002,800.0,0.10301093885284704
2,2.0,1.0,8.262000000000002,800.0,0.006593947408401954
7,7.0,5.0,3.5895,800.0,8.78785780068476e-4
8,8.0,1.0,7.776,700.0,0.09562654659265411
9,9.0,1.0,7.343999999999999,700.0,0.014760574340403914
10,10.0,3.0,8.356499999999999,1e3,0.015201867280245293
11,11.0,2.0,5.8275,700.0,0.1849663028576983
12,12.0,1.0,7.641500000000001,700.0,0.05481327274898172
13,13.0,8.0,2.26,1500.0,0.031833930002197273
18,18.0,3.0,8.3555,1e3,0.013515153395392053
19,19.0,3.0,8.652999999999999,1e3,0.050748155507423474
20,20.0,4.0,6.805,1e3,0.1981943752525392
21,21.0,4.0,6.454000000000001,1e3,0.43556498188208853
22,22.0,7.0,1.6320000000000001,350.0,0.07145458244583826
27,27.0,12.0,6.0025,2e3,0.14409604517110308
30,30.0,10.0,0.44800000000000006,650.0,0.01129018328370724
31,31.0,10.0,0.5225,400.0,0.1267005184085521
33,33.0,5.0,3.927,900.0,4.3394647900198786e-4
35,35.0,2.0,5.901,900.0,0.004204104969906331
36,36.0,10.0,1.6865,800.0,3.6819148800478575e-4
37,37.0,9.0,3.0305,2e3,0.031518568162106755
38,38.0,8.0,2.4225,1200.0,0.9619796533328006
39,39.0,11.0,7.992,1800.0,0.2673710072000028
40,40.0,11.0,7.7805,2e3,0.00832170452265037
42,42.0,7.0,2.2882499999999997,350.0,0.21593332502267432
44,44.0,3.0,9.234,1400.0,0.018806994596389192
45,45.0,3.0,9.234,1400.0,0.011237342232948443
47,47.0,4.0,6.541500000000001,1500.0,0.002661600737373852
50,50.0,3.0,8.253499999999999,1300.0,9.988688749165036e-4
51,51.0,3.0,8.185,1300.0,1.9276029955332834e-4
52,52.0,11.0,8.505,1800.0,0.055119982646682504
53,53.0,11.0,8.0325,1800.0,0.2032774106437547
54,54.0,11.0,8.0325,2e3,0.005118996662734331
55,55.0,11.0,8.3025,1800.0,0.02275766950514046
56,56.0,3.0,7.888,1500.0,2.2079459686950018e-4
58,58.0,3.0,8.133,1100.0,0.032348344376248894
59,59.0,3.0,8.133,1100.0,0.025573846627594102
60,60.0,4.0,4.635,1500.0,0.039192053109092066
61,61.0,4.0,6.575,1100.0,0.0873263260639912
